Year,Description,Image Alt,Image Link,Month,News Title,News Description
2023,The Aussie all-rounder played one of ODI’s greatest  innings!  - (Nov’ 23),LeGlennndary!,https://amul.com/files/hits/amul-hits-3411.jpg,11,"AUS vs BAN ODI World Cup: Predicted playing XIs, live streaming, pitch report and weather forecast of Pune",Check out all the details related to Australia vs Bangladesh match in ICC Men&#39;s Cricket World Cup 2023 which will be played in Pune.
2023,Our two batting superstars are level at 49 ODI centuries! - (Nov’ 23),Kohli matches Tondukar!,https://amul.com/files/hits/amul-hits-3410.jpg,11,Top Run-Scorers and Wicket-Takers in ICC Cricket World Cup 2023 Till 9 November,Check out the list of highest run scorers and wicket takers in ICC Cricket World Cup 2023.
2023,The latest meme to trend the internet… - (Nov’ 23),Just cooking like a wow!,https://amul.com/files/hits/amul-hits-3409.jpg,11,‘Just cooking like a wow’: Amul joins popular trend with its latest ad,"Dairy brand Amul, which is known for its creative and witty ads on a variety of topics, has now joined the “just looking like a wow” trend that has been sweeping the internet. The dairy brand featured its iconic Amul Girl wearing an apron and cooking inside a kitchen in the ad posted on X, formerly Twitter, on Monday."
2023,India’s great opening bowler helps India reach the semis of WC 2023!  - (Nov’ 23),Shami- finals!,https://amul.com/files/hits/amul-hits-3408.jpg,11,Is India&#39;s bowling attack the best ever at a World Cup?,They have certainly staked their claim through numbers to be one of the very best fielded by any team at the ODI World Cup | ESPN.in
2023,Tendulkar’s statue built at Wankhede Stadium!  - (Nov’ 23),Sachin wahan – khade -hai,https://amul.com/files/hits/amul-hits-3407.jpg,11,Sachin Tendulkar unveiled his life-size statue at the Wankhede Stadium on Wednesday.,"IT didn’t take time for Sachin Tendulkar to turn nostalgic as he unveiled a life-size statue of him at the Wankhede Stadium — between the Tendulkar ... most’ Shah also came up with a stat of Tendulkar’s. “Out of 365 days in a year, the only ..."
2023,New Zealand batsman of Indian origin excels with two centuries in WC 2023!- (Oct’ 23),Rachin for the stars!,https://amul.com/files/hits/amul-hits-3405.jpg,10,New Zealand batsman of Indian origin excels with two centuries in WC 2023!- (Oct’ 23)Rachin for the stars!,
2023,Tribute to star actor/comedian! - (Oct’ 23),We Binged on your wit!,https://amul.com/files/hits/amul-hits-3406.jpg,10,Tribute to star actor/comedian! - (Oct’ 23)We Binged on your wit!,
2023,Air quality levels have reached alarming proportions!  - (Oct’ 23),Pollution is a foggone conclusion,https://amul.com/files/hits/amul-hits-3404.jpg,10,Delhi&#39;s Battle With Severe Air Quality Crisis Continues; Mumbai Takes Proactive Steps To Combat Pollution,"The air quality in Delhi has plunged to severe levels, prompting urgent measures to address the escalating pollution crisis. As of Thursday morning, the Central Pollution Control Board (CPCB) reported an alarming overall Air Quality Index (AQI) of 420,"
2023,Tribute to the legendary Indian spinner and captain! - (Oct’ 23),He was a top flight artiste,https://amul.com/files/hits/amul-hits-3403.jpg,10,Tribute to the legendary Indian spinner and captain! - (Oct’ 23)He was a top flight artiste,
2023,Tribute to our founder Shri Tribhuvandas Patel on his 120th birth anniversary! - (Oct’ 23),Unhone unity aur Unnati dono diya!,https://amul.com/files/hits/amul-hits-3402.jpg,10,Tribute to our founder Shri Tribhuvandas Patel on his 120th birth anniversary! - (Oct’ 23)Unhone unity aur Unnati dono diya!,
2023,Wishing everyone a happy Durga Puja!  - (Oct’ 23),Pet pujo for all!,https://amul.com/files/hits/amul-hits-3401.jpg,10,Welcoming the goddess,Members of the Newtown Business Club and their children got into Durga puja mode with an agomoni programme that took place in its banquet hall on October 17 ... t have been a better way to start pujo than this. Everyone had put one’s best foot forward ...
2023,Waheeda Rehman wins Dadasaheb Phalke Award!  - (Oct’ 23),Aaj phir jeetne ki tamanna hai,https://amul.com/files/hits/amul-hits-3400.jpg,10,Waheeda Rehman wins Dadasaheb Phalke Award!  - (Oct’ 23)Aaj phir jeetne ki tamanna hai,
2023,Underdogs defeat WC 2019 winners! - (Oct’ 23),Afghanistun England!,https://amul.com/files/hits/amul-hits-3399.jpg,10,Wounded England look to avoid more humiliation at Cricket World Cup as they face Dutch underdogs,"Their title defence turned disastrous, Buttler&#39;s team have only Champions Trophy qualification to play for in final two games"
2023,Mumbai’s much loved landmark to close down for 7 years! - (Oct’ 23),Don’t hang these gardens !,https://amul.com/files/hits/amul-hits-3398.jpg,3,Mumbai’s much loved landmark to close down for 7 years! - (Oct’ 23)Don’t hang these gardens !,
2023,India wins over 100 medals at Hangzhou Asian Games! - (Oct’ 23),Saulid show!,https://amul.com/files/hits/amul-hits-3397.jpg,10,Asian Archery C&#39;ships: Parneet edges out Jyothi for gold; India finishes campaign with 7 medals,"Eighteen-year-old Parneet Kaur got the better of the seasoned archer Jyothi Surekha Vennam to win the gold medal in the women’s compound individual event at the Asian Archery Championships 2023, here on Thursday."
2023,Amul is the sponsor of the Afghanistan cricket team!  - (Oct’ 23),Makhan ab sabko Kabul hai,https://amul.com/files/hits/amul-hits-3396.jpg,10,Records for Afghanistan in Minor OD matches,"New Zealand v South Africa at Thiruvananthapuram, Oct 2, 2023 [Other OD] England Lions v South Africans at Taunton, tour match, Jul 12, 2022 [Other OD]"
2023,Amul is the sponsor of the Sri Lankan cricket team!  - (Oct’ 23),Makhan for every lankan,https://amul.com/files/hits/amul-hits-3395.jpg,10,Amul is the sponsor of the Sri Lankan cricket team!  - (Oct’ 23)Makhan for every lankan,
2023,Amul is the sponsor of the South African cricket team!  - (Oct’ 23),"Protea, cupda aur makhan",https://amul.com/files/hits/amul-hits-3394.jpg,10,"Amul is the sponsor of the South African cricket team!  - (Oct’ 23)Protea, cupda aur makhan",
2023,India’s shooters have excelled in Asian Games! - (Oct’ 23),Shooting stars shining bright,https://amul.com/files/hits/amul-hits-3393.jpg,10,India’s shooters have excelled in Asian Games! - (Oct’ 23)Shooting stars shining bright,
2023,Tribute to Father of India’s Green Revolution! - (Sep’ 23),A giant in his field,https://amul.com/files/hits/amul-hits-3392.jpg,9,Burundi prosecutors call for life imprisonment for former prime minister,Burundi prosecutors call for life imprisonment for former prime minister - The Maravi Post
2023,SRK’s blockbuster hits magic figure of Rs1000 crores!- (Sep’ 23),Jawan thousand crores!,https://amul.com/files/hits/amul-hits-3390.jpg,9,SRK’s blockbuster hits magic figure of Rs1000 crores!- (Sep’ 23)Jawan thousand crores!,
2023,Indian dressage team wins first Asian Games gold! - (Sep’ 23),Hamare Goodsavaar!,https://amul.com/files/hits/amul-hits-3391.jpg,9,National Games: Services Closing in on Leaders Maharashtra With Late Surge on Penultimate Day,"Services rode on a strong showing in the boxing ring where they won five gold, one silver apart from clinching two gold medals in yachting, one each in men&#39;s football, handball and kabaddi to take their gold medal tally to 65."
2023,Celebrating the legendary actor’s 100th birth anniversary today! - (Sep’ 23),Devegreen hero,https://amul.com/files/hits/amul-hits-3389.jpg,9,Celebrating the legendary actor’s 100th birth anniversary today! - (Sep’ 23)Devegreen hero,
2023,Women’s Reservation Bill passed in Parliament! - (Sep’ 23),Always deserved to be reserved,https://amul.com/files/hits/amul-hits-3387.jpg,9,"Rajasthan: Despite Women-Centric Poll Promises, Only 14% Candidates Fielded By Congress And 10% By BJP Are Female","The ruling Congress party in Rajasthan has given tickets to 28 women candidates, whereas the BJP has fielded 20 female candidates out of a total of 200 assembly seats."
2023,Amul is the proud sponsor of the Indian continent for the Asian Games! - (Sep’ 23),Hangzou mein jeet ki aarzou,https://amul.com/files/hits/amul-hits-3388.jpg,9,Amul is the proud sponsor of the Indian continent for the Asian Games! - (Sep’ 23)Hangzou mein jeet ki aarzou,
2023,First Indian fast bowler to get four wickets in one over!  - (Sep’ 23),Sabka sir aaj ooncha hai!,https://amul.com/files/hits/amul-hits-3386.jpg,9,6 Indian Bowlers Who Became Number 1 In The ICC ODI Rankings History,Indian Bowlers Who Became Number 1 In The ICC ODI Rankings History. Take a look at those who achieved this success.
2023,Beloved BEST non-AC double deckers have been discontinued!  - (Sep’ 23),Bus. stop.,https://amul.com/files/hits/amul-hits-3385.jpg,9,Beloved BEST non-AC double deckers have been discontinued!  - (Sep’ 23)Bus. stop.,
2023,Sensex hits record levels! - (Sep’ 23),Bulls eye for Nifty!,https://amul.com/files/hits/amul-hits-3384.jpg,9,Sensex hits record levels! - (Sep’ 23)Bulls eye for Nifty!,
